trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
156,True,"{'a': 0, 'e': 0}",30,12,31.053561757701594,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,True,"{'a': 0, 'e': 0}",30,18,24.311537936109744,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,True,"{'a': 0, 'e': 0}",30,18,22.48042361845357,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,True,"{'a': 0, 'e': 0}",25,0,39.08766215366543,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
160,True,"{'a': 0, 'e': 0}",20,12,14.518408216254333,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,True,"{'a': 0, 'e': 0}",25,17,15.014866895413835,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,True,"{'a': 0, 'e': 0}",30,16,26.79016132670493,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,True,"{'a': 0, 'e': 0}",25,19,10.194837788112647,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,True,"{'a': 0, 'e': 0}",20,11,6.986032749301734,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
165,True,"{'a': 0, 'e': 0}",25,13,22.203586909739165,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,True,"{'a': 0, 'e': 0}",20,16,8.399366090727554,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,True,"{'a': 0, 'e': 0}",20,3,20.310127410289695,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
168,True,"{'a': 0, 'e': 0}",25,9,28.694125477625068,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,True,"{'a': 0, 'e': 0}",25,12,23.496992555344775,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,True,"{'a': 0, 'e': 0}",25,17,14.739028078198858,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,True,"{'a': 0, 'e': 0}",25,13,19.84007058624779,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,True,"{'a': 0, 'e': 0}",20,12,18.337480411881266,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,True,"{'a': 0, 'e': 0}",20,15,10.694795619707646,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,True,"{'a': 0, 'e': 0}",30,18,24.506024065343148,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,True,"{'a': 0, 'e': 0}",30,18,20.307386498707274,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,True,"{'a': 0, 'e': 0}",20,8,22.811227231993364,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
